RUN;DV;PATERNO;MATERNO;NOMBRES:;MAIL PERSONAL;MAIL INSTITUCIONAL;TELÉFONO;CONTRATO;JORNADA DIURNO;JORNADA VESPERTINO;DEDICACIÓN;GRADO ACADÉMICO;JERARQUÍA;CARGO
11506703;0;SALGADO;DIETZ;SARA ANDREA;SALGADO.DIETZ@llimail.kom;SA.SALGADO@lamejor.cl;919085426;HONORARIO;diurno;;;MAGISTER;;
18797417;0;DURAN;IRARRAZABAL;MIGUEL HERNÁN;DURAN.IRARRAZABAL@llimail.kom;MH.DURAN@lamejor.cl;932597493;HONORARIO;;;;;ASISTENTE REGULAR;
14064068;4;DUCCI;MIRALLES;ALBERTO JORGE;DUCCI.MIRALLES@llimail.kom;AJ.DUCCI@lamejor.cl;923525810;HONORARIO;diurno;;;DOCTORA;ASOCIADA DOCENTE;
17709390;4;MOREIRA ;CONTARDI;CLAUDIA JUAN;MOREIRA .CONTARDI@llimail.kom;CJ.MOREIRA @lamejor.cl;924698168;HONORARIO;diurno;;;LICENCIATURA;INSTRUCTOR DOCENTE;
10930280;5;TORO;FUENZALIDA;JOSÉ VICTOR;TORO.FUENZALIDA@llimail.kom;JV.TORO@lamejor.cl;946697062;HONORARIO;diurno;;;MAGISTER;;
15602671;1;RENCORET;SCHEAFER;INGRID JAIME;RENCORET.SCHEAFER@llimail.kom;IJ.RENCORET@lamejor.cl;925259807;FULL TIME;diurno;vespertino;40;DOCTOR;PROFESOR ASISTENTE DOCENTE;Director (a) Formación Cont. y Postgra
7523733;6;MERCAIDO;VALDERRAMA;INGRID PABLO;MERCAIDO.VALDERRAMA@llimail.kom;IP.MERCAIDO@lamejor.cl;977988941;HONORARIO;diurno;vespertino;;0;PROFESOR ASISTENTE DOCENTE;
21531369;0;RENCORET;REBOLLEDO;CRISTÓBAL ROBERTO;RENCORET.REBOLLEDO@llimail.kom;CR.RENCORET@lamejor.cl;951127968;FULL TIME;diurno;vespertino;40;LICENCIATURA;INSTRUCTORA DOCENTE;Secretaria Estudios
7601139;7;RAMIREZ;RAMIREZ;CONRAD BENOIT;RAMIREZ.RAMIREZ@llimail.kom;CB.RAMIREZ@lamejor.cl;941012023;HONORARIO;diurno;;;LICENCIATURA;;
6459456;4;MUNIZAGA;MOLINA;ALEJANDRO CECILIA;MUNIZAGA.MOLINA@llimail.kom;AC.MUNIZAGA@lamejor.cl;927524386;HONORARIO;diurno;;;MAGISTER ;INSTRUCTORA DOCENTE;
