Periodo;Sede;Facultad  ;Código Depto;Departamento;Id Asignatura;Asignatura;Sección;Duración;Jornada;Cupo;Inscritos;Día;Hora Inicio;Hora Fin;Fecha Inicio;Fecha Fin;Lugar;Edificio;Profesor Principal;RUN
2024-02;hogwarts;Ministerio de magia;8020;Ministerio de magia;PH110086;TUTORÍAS DE ACOMPAÑAMIENTO MAGICO;75;S;Diurno;31;0;miércoles;11:15;12:35;01/08/24;31/12/24;Lab1;HOGWARTS - ;S;100
2024-02;hogwarts;Ministerio de magia;8020;Ministerio de magia;PH110086;TUTORÍAS DE ACOMPAÑAMIENTO MAGICO;50;S;Diurno;26;0;jueves;15:45;17:05;01/08/24;31/12/24;22;HOGWARTS - TORRE  II;S;100
2024-02;hogwarts;Ministerio de magia;8020;Ministerio de magia;PH110086;TUTORÍAS DE ACOMPAÑAMIENTO MAGICO;30;S;Diurno;13;0;miércoles;09:45;11:05;01/08/24;31/12/24; 305 (H);HOGWARTS - TORRE  I;S;100
2024-02;hogwarts;Ministerio de magia;8020;Ministerio de magia;PH110086;TUTORÍAS DE ACOMPAÑAMIENTO MAGICO;35;S;Diurno;10;0;jueves;11:15;12:35;01/08/24;31/12/24;44;HOGWARTS - TORRE  II;S;100
2024-02;hogwarts;Ministerio de magia;8020;Ministerio de magia;PH110086;TUTORÍAS DE ACOMPAÑAMIENTO MAGICO;45;S;Diurno;9;0;martes;14:15;15:35;01/08/24;31/12/24;56;HOGWARTS - TORRE  II;S;100
2024-02;hogwarts;Ministerio de magia;8020;Ministerio de magia;PH110086;TUTORÍAS DE ACOMPAÑAMIENTO MAGICO;10;S;Diurno;46;0;martes;12:45;14:05;01/08/24;31/12/24;315;HOGWARTS - TORRE B;S;100
2024-02;Beauxbaton;Facultad de Magia y Hechicería;4010;ESCUELA DE MAGIA;GH13458;ESTUDIOS DE DEMONIOS NECROFAGOS  I;230;S;Diurno;57;57;jueves;09:45;11:05;01/08/24;30/12/24;102 (H);BEAUXBATON - EDIFICIO A;S;4010
2024-02;Beauxbaton;Facultad de Magia y Hechicería;4010;ESCUELA DE MAGIA;GH13458;ESTUDIOS DE DEMONIOS NECROFAGOS  I;230;S;Diurno;57;57;jueves;11:15;12:35;01/08/24;30/12/24;102 (H);BEAUXBATON - EDIFICIO A;S;4010
2024-02;Beauxbaton;Facultad de Magia y Hechicería;4010;ESCUELA DE MAGIA;GH13458;ESTUDIOS DE DEMONIOS NECROFAGOS  I;230;S;Diurno;57;57;jueves;12:45;14:05;01/08/24;30/12/24;102 (H);BEAUXBATON - EDIFICIO A;S;4010
2024-02;Beauxbaton;Facultad de Magia y Hechicería;4010;ESCUELA DE MAGIA;GH24441;ESTUDIOS DE DEMONIOS NECROFAGOS  VI;210;S;Diurno;30;23;lunes;15:45;17:05;01/08/24;30/12/24;401 (H);BEAUXBATON - EDIFICIO B;S;4010
2024-02;Beauxbaton;Facultad de Magia y Hechicería;4010;ESCUELA DE MAGIA;GH24441;ESTUDIOS DE DEMONIOS NECROFAGOS  VI;210;S;Diurno;30;23;lunes;17:15;18:35;01/08/24;30/12/24;401 (H);BEAUXBATON - EDIFICIO B;S;4010
2024-02;hogwarts;Facultad de Magia y Hechicería;6012;ESCUELA DE HECHICERÍA;WH236002;FUNDAMENTOS MAGICOS;20;S;Diurno;35;32;martes;09:45;11:05;01/08/24;30/12/24;AULA B (H);HOGWARTS - ;S;6012
