RUN;Nombre Docente;1er Apellido Docente;2so Apellido Docente;SEXO;Jerarquización;telefono;email personal;email  institucional;DEDICACIÓN;CONTRATO;JORNADA;SEDE;CARRERA;GRADO ACADÉMICO;;
100;POR;DESIGNAR;;;;;;;;;;;;;;
4010;POR;DESIGNAR;;;;;;;;;;;;;;
6012;DESIGNAR;POR;;;;;;;;;;;;;;
82257813;Molly;Weasley;ZUÑIGA;F;JC1;890123463;molly.weasley.robles@gmall.com;molly.weasley.robles@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;LICENCIATURA;;
55310052;Fleur;Delacour;;F;JC1;678901238;fleur.delacour.diaz@gmall.com;fleur.delacour.diaz@lamejor.com;40;FULL TIME;vespertino;BEAUXBATON;;LICENCIATURA;Secretaria Estudios;
67267441;LAMAS;BELLA;BELTRAN;F;PEAT;;lamas.bella.delmundo@yeeha.com;lamas.bella.delmundo@lamejor.com;40;FULL TIME;vespertino;TODAS;HECHICERÍA;MAGISTER;VICEDECANA;
70772614;Lily;Potter;PONCE DE LEON;F;ASD;234567897;lily.potter.aspillaga@coldmail.com;lily.potter.aspillaga@lamejor.com;;HONORARIO;vespertino;HOGWARTS;MAGIA;MAGISTER;;
77937835;Michael;Corner;;M;PEAS;678901241;michael.corner.vargas@yeeha.com;michael.corner.vargas@lamejor.com;40;FULL TIME;vespertino;HOGWARTS;MAGIA;MAGISTER;Director(a) Carrera;
84872367;Neville;Longbottom;VALEZUELA;M;JC1;234567898;neville.longbottom.valenzuela@gmall.com;neville.longbottom.valenzuela@lamejor.com;;HONORARIO;ambas;HOGWARTS;MAGIA;MAGISTER;;
86546445;Oliver;Wood;;M;JM1;345678909;oliver.wood.fuentes@gmall.com;oliver.wood.fuentes@lamejor.com;40;FULL TIME;ambas;HOGWARTS;MAGIA;MAGISTER;;
90069145;Padma;Patil;;;JC1;456789020;padma.patil.sandoval@coldmail.com;padma.patil.sandoval@lamejor.com;40;FULL TIME;ambas;HOGWARTS;MAGIA;MAGISTER;;
91902643;Parvati;Patil;RENARD;;INSD;678901242;parvati.patil.pardo@yeeha.com;parvati.patil.pardo@lamejor.com;;HONORARIO;ambas;HOGWARTS;MAGIA;LICENCIATURA;;
92810368;Percy;Weasley;;M;INSD;789012353;percy.weasley.silva@coldmail.com;percy.weasley.silva@lamejor.com;;HONORARIO;ambas;HOGWARTS;MAGIA;LICENCIATURA;;
17663505;Amycus;Carrow;JERALDO;;TID;;amycus.carrow@yeeha.com;amycus.carrow@lamejor.com;;;ambas;;;;;
94727426;Petunia;Dursley;;F;ATR;890123464;petunia.dursley.jeraldo@gmall.com;petunia.dursley.jeraldo@lamejor.com;;HONORARIO;ambas;HOGWARTS;MAGIA;MAGISTER;;
105647119;Quirinus;Quirrell;;M;SIN;567890132;quirinus.quirrell@yeeha.com;quirinus.quirrell@lamejor.com;40;FULL TIME;ambas;HOGWARTS;MAGIA;;;
110515163;Remus;Lupin;;M;JC1;789012354;remus.lupin@coldmail.com;remus.lupin@lamejor.com;40;FULL TIME;ambas;HOGWARTS;MAGIA;MAGISTER;;
117871496;Rubeus;Hagrid;;M;ASD;345678911;rubeus.hagrid@yeeha.com;rubeus.hagrid@lamejor.com;;HONORARIO;ambas;HOGWARTS;MAGIA;MAGISTER;;
12317173;Alastor;PITURRA ;;M;JC1;12273600;alastor.piturra@yeeha.com;alastor.moody@lamejor.com;;;vespertino;;;;;
127037820;Séptima;Vector;DIAZ;F;ATD;789012355;septima.vector@yeeha.com;septima.vector@lamejor.com;40;FULL TIME;ambas;HOGWARTS;MAGIA;DOCTOR;Director (a) Formación Cont. y Postgra;
129008399;Severus;Snape;;M;ASD;890123466;severus.snape@yeeha.com;severus.snape@lamejor.com;40;FULL TIME;ambas;HOGWARTS;MAGIA;MAGISTER;Director (a) Formación Cont. y Postgra;
